itemCode,製品名:和名,製造販売元,経済課コード,リスク区分等,成分名
,温清飲エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00511,第2類,
,エバユーススリムF,大峰堂薬品工業（株）,520C00A00010,第2類,
,エルネースG,大峰堂薬品工業（株）,520B02A00503,第2類,
,大峰胃腸丸,大峰堂薬品工業（株）,237R00D00065,第3類,
,大峰エキス錠黄連解毒湯A,大峰堂薬品工業（株）,520C00A01304,第2類,
,大峰エキス錠桃核承気湯,大峰堂薬品工業（株）,520C00A00977,第2類,
,大峰カルミン錠A,大峰堂薬品工業（株）,114C00D00055,指定第2類,
,大峰荊芥連翹湯錠,大峰堂薬品工業（株）,520C03A00489,第2類,
,大峰小青竜湯錠Ⅱ,大峰堂薬品工業（株）,520C02A00674,第2類,
,大峰堂の八味丸B,大峰堂薬品工業（株）,520R00A00705,第2類,
,大峰ハイカルミン錠A,大峰堂薬品工業（株）,114C01D00035,指定第2類,
,大峰ハトムギ錠,大峰堂薬品工業（株）,266C00D01065,第3類,
,大峰薬草便秘薬,大峰堂薬品工業（株）,235C01D00037,指定第2類,
,乙字湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00D02264,第2類,
,遠志の恵み,大峰堂薬品工業（株）,590C00A00235,第3類,
,御嶽山風邪薬,大峰堂薬品工業（株）,118B00A01048,指定第2類,
,御嶽百草便秘薬,大峰堂薬品工業（株）,253C00A00001,指定第2類,
,かぜリンネカプセルN,大峰堂薬品工業（株）,118D00D10011,指定第2類,
,葛根湯エキス顆粒〔大峰〕,大峰堂薬品工業（株）,520B00D00235,第2類,
,葛根湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00D00987,第2類,
,葛根湯加川きゅう辛夷エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00D00854,第2類,
,葛根湯錠OM,大峰堂薬品工業（株）,520C01A00254,第2類,
,葛根湯微顆粒《満量》,大峰堂薬品工業（株）,520B03A00313,第2類,
,加味逍遙散エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A02112,第2類,
,加味逍遙散錠〔大峰〕,大峰堂薬品工業（株）,520C03A00488,第2類,
,カルミン頭痛歯痛,大峰堂薬品工業（株）,114B03D00047,指定第2類,
,行者丸赤玉,大峰堂薬品工業（株）,231C00D00863,第2類,
,クラシエ薬草便秘薬,大峰堂薬品工業（株）,235C00D10015,指定第2類,
,荊芥連翹湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B02A00512,第2類,
,桂枝加竜骨牡蛎湯エキス錠クラシエ,大峰堂薬品工業（株）,520C02A00095,第2類,
,桂枝加苓朮附湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A00236,第2類,
,桂枝茯苓丸エキス錠OM,大峰堂薬品工業（株）,520C00D00527,第2類,
,ケイヒ末錠OM,大峰堂薬品工業（株）,590C00A00050,第3類,
,恵婦丸,大峰堂薬品工業（株）,520R00A04527,第2類,
,玄武峰寿丸(販売名:峰寿丸),大峰堂薬品工業（株）,520R00A01138,第2類,
,香蘇散料エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B03A00503,第2類,
,ココスリム,大峰堂薬品工業（株）,520C00A00567,第2類,
,五積散エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B03A00509,第2類,
,牛車腎気丸料エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00516,第2類,
,五苓散料エキス錠〔大峰〕,大峰堂薬品工業（株）,520C01A00583,第2類,
,柴胡加竜骨牡蛎湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C01A00149,第2類,
,柴胡桂枝湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A02365,第2類,
,柴胡桂枝湯錠OM,大峰堂薬品工業（株）,520C00E10003,第2類,
,柴胡桂枝湯分包エキス顆粒〔大峰〕,大峰堂薬品工業（株）,520B00A01419,第2類,
,サンスラット,大峰堂薬品工業（株）,520C00D00408,第2類,
,サンスラットEX,大峰堂薬品工業（株）,520C02A00088,第2類,
,シオノギLCホワイト錠Ⅱ,大峰堂薬品工業（株）,314C00A00644,第3類,
,シオノギ葛根湯エキス顆粒,大峰堂薬品工業（株）,520B00A00105,第2類,
,シオノギ漢方便秘薬S,大峰堂薬品工業（株）,520C01A00464,第2類,
,シナールLホワイト2,大峰堂薬品工業（株）,314C00A00643,第3類,
,シナール イクシ,大峰堂薬品工業（株）,314C00A00402,第3類,
,シナール イクシ プレミアム,大峰堂薬品工業（株）,314C00A00059,第3類,
,シナールLホワイト　エクシア,大峰堂薬品工業（株）,314C00A00338,第3類,
,小柴胡湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00D02116,第2類,
,小青竜湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00D04056,第2類,
,小青竜湯分包エキス顆粒〔大峰〕,大峰堂薬品工業（株）,520B00D04057,第2類,
,消風散料エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B00A00526,第2類,
,逍遙散料エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B00A00518,第2類,
,新アリナプロンBB,大峰堂薬品工業（株）,313C00A10048,第3類,
,辛夷清肺湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B03A00507,第2類,
,新コーピタンS,大峰堂薬品工業（株）,118C02D00034,指定第2類,
,新コーピタンカプセルN,大峰堂薬品工業（株）,118D01D10010,指定第2類,
,新大宝心,大峰堂薬品工業（株）,211C00D04852,第2類,
,新リバヘルスゴールド,大峰堂薬品工業（株）,317C00A00640,第2類,
,シンワの当帰建中湯エキス顆粒,大峰堂薬品工業（株）,520B00A00502,第2類,
,十全大補湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A00326,第2類,
,十味敗毒湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A00153,第2類,
,参蘇飲エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00506,第2類,
,参苓白朮散料エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B00A00517,第2類,
,スート顆粒,大峰堂薬品工業（株）,520B03A00241,第2類,
,末広御種人参エキス錠,大峰堂薬品工業（株）,329C00A00438,第3類,
,ストップ,大峰堂薬品工業（株）,114B00D00198,指定第2類,
,センナダイオウ錠シンワ,大峰堂薬品工業（株）,235C01D10003,指定第2類,
,疎経活血湯エキス顆粒OM,大峰堂薬品工業（株）,520B00D10062,第2類,
,疎経活血湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B02A00521,第2類,
drug-pony:10767731,疎経活血湯エキス錠クラシエ,大峰堂薬品工業（株）,520C01A00519,第2類,
,大宝心ゴールド,大峰堂薬品工業（株）,211C00D00126,第2類,
,大柴胡湯エキス錠OM,大峰堂薬品工業（株）,520C00A00522,第2類,
,猪苓湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C01A00779,第2類,
,当帰飲子エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B02A00515,第2類,
,当帰四逆加呉茱萸生姜湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A02260,第2類,
,当帰芍薬散エキス錠OM,大峰堂薬品工業（株）,520C00D00526,第2類,
,二陳湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B02A00514,第2類,
,日本薬局方コウジン 末広御種人参,大峰堂薬品工業（株）,329G00D00726,第3類,
,人参湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00520,第2類,
,八味地黄丸(販売名:峰寿丸),大峰堂薬品工業（株）,520R00A01138,第2類,
,八味地黄丸料エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A01695,第2類,
,ハトムギ錠OM,大峰堂薬品工業（株）,520C01A00443,第3類,
,半夏厚朴湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A01277,第2類,
,半夏厚朴湯エキス錠「クラシエ」,大峰堂薬品工業（株）,520C02A10005,第2類,
,半夏瀉心湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B00A00525,第2類,
,半夏瀉心湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C02A00093,第2類,
,半夏白朮天麻湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B03A00508,第2類,
,ピュアプラスホワイト,大峰堂薬品工業（株）,314C00D00428,第3類,
,平胃散エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00505,第2類,
,ペア漢方エキス錠,大峰堂薬品工業（株）,520C02A00475,第2類,
,峰寿丸,大峰堂薬品工業（株）,520R00A01138,第2類,
,補中益気湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A02457,第2類,
,防已黄耆湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00549,第2類,
,防已黄耆湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C02A00125,第2類,
,防風通聖散エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A01102,第2類,
,麻黄湯エキスEX錠クラシエ,大峰堂薬品工業（株）,520C02A00103,第2類,
,麻杏甘石湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00D00618,第2類,
,麻杏よく甘湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00522,第2類,
,ミネチオールCプラス,大峰堂薬品工業（株）,314C00D00452,第3類,
,メチオンパール,大峰堂薬品工業（株）,112C00A00133,第2類,
,ユービケア,大峰堂薬品工業（株）,520B01A00213,第2類,
,ユクリズム,大峰堂薬品工業（株）,520C02A00059,第2類,
,よく苡仁錠シンワ,大峰堂薬品工業（株）,266C00D00066,第3類,
,よく苡仁錠シンワS,大峰堂薬品工業（株）,510C00A00295,第3類,
,抑肝散加陳皮半夏エキス錠クラシエ,大峰堂薬品工業（株）,520C03A00030,第2類,
,ラフネクアH,大峰堂薬品工業（株）,313C00A10027,第3類,
,ラフネクアHa,大峰堂薬品工業（株）,313C05A10004,第3類,
,リシーエ,大峰堂薬品工業（株）,510C00A10024,指定第2類,
,リハビット,大峰堂薬品工業（株）,520C01A10005,第2類,
,竜胆瀉肝湯エキス顆粒「クラシエ」,大峰堂薬品工業（株）,520B01A00523,第2類,
,苓桂朮甘湯エキス錠〔大峰〕,大峰堂薬品工業（株）,520C00A01068,第2類,
,ロート加味帰脾湯錠,大峰堂薬品工業（株）,520C01A00236,第2類,
,ロート牛車腎気丸錠Ⅱ,大峰堂薬品工業（株）,520C01A00313,第2類,
,ロート柴胡加竜骨牡蠣湯錠,大峰堂薬品工業（株）,520C01A00312,第2類,
,ロート　トイリズム,大峰堂薬品工業（株）,520C01A00213,第2類,
,ロート補中益気湯錠,大峰堂薬品工業（株）,520C00A10028,第2類,
,六味丸料エキス錠クラシエ,大峰堂薬品工業（株）,520C00A00524,第2類,
,岡平萬病感應丸,（株）岡平製薬所,211R00D01270,第2類,
,ザハップフェルビナクS,岡山大鵬薬品（株）,264P02A00055,第2類,
,ピュアクイックS軟膏,岡山大鵬薬品（株）,264N03A00002,指定第2類,
,ロイヒ温シップフェルビナク,岡山大鵬薬品（株）,264P00A00540,第2類,
,ロイヒクリーム フェルビ,岡山大鵬薬品（株）,264N01A00082,第2類,
,BTエース液,奥田製薬（株）,265M00A00027,指定第2類,
,BTエースクリーム,奥田製薬（株）,265N01A00039,指定第2類,
,BTプラスV8液,奥田製薬（株）,265M01A00028,指定第2類,
,BTプラスV8クリーム,奥田製薬（株）,265N00A00040,指定第2類,
,FX鼻炎錠アルファ,奥田製薬（株）,441C00A00016,第2類,
,IBU鎮痛薬EX,奥田製薬（株）,114C00A00070,指定第2類,
,PVAアルファEX液,奥田製薬（株）,264M02A10047,指定第2類,
,PVAアルファEXゲル,奥田製薬（株）,264N02A10048,指定第2類,
,PVAエース11液,奥田製薬（株）,264M03A10012,指定第2類,
,PVAエース11ゲル,奥田製薬（株）,264N03A10017,指定第2類,
,PVAクリームα,奥田製薬（株）,264N00A00238,指定第2類,
,アシクロビル軟膏α,奥田製薬（株）,625N00A00242,第1類,
,アジェンテAG点鼻薬,奥田製薬（株）,132M00A00928,第2類,
,アジェンテEXソフトカプセル,奥田製薬（株）,118D01A10010,指定第2類,
,アジェンテ鎮痛薬a,奥田製薬（株）,114C03A00057,指定第2類,
,アジェンテ点鼻薬クール,奥田製薬（株）,132M00A10076,第2類,
,アナガリスALGプラス点鼻薬,奥田製薬（株）,132M00A00429,第2類,
,アナガリスALGプラス点鼻薬クール,奥田製薬（株）,132M00A00292,第2類,
,アルクイックAG点鼻薬,奥田製薬（株）,132M00A00929,第2類,
,アルクイックIPa,奥田製薬（株）,114C00A00063,指定第2類,
,アルクイック点鼻薬クール,奥田製薬（株）,132M00A10106,第2類,
,アルテナスBTエース液,奥田製薬（株）,265M01A00025,指定第2類,
,アルテナスBTエースクリーム,奥田製薬（株）,265N01A00037,指定第2類,
,アルテナスα液,奥田製薬（株）,265M00A10055,第2類,
,アルテナスαクリーム,奥田製薬（株）,265N02A10008,第2類,
,胃乃源胃散α,奥田製薬（株）,233B00A10047,第3類,
,ウイルクイックPVAクリーム,奥田製薬（株）,264N02A00236,指定第2類,
,ウイルクイックPVA軟膏,奥田製薬（株）,264N00A00370,指定第2類,
,ウイルクエストIPa,奥田製薬（株）,114C00A00062,指定第2類,
,エコルデDX液,奥田製薬（株）,264M01A10013,指定第2類,
,エコルデDXゲル,奥田製薬（株）,264N02A10006,指定第2類,
,エメロット10クリーム,奥田製薬（株）,265N00A00217,指定第2類,
,エメロットALGプラス点鼻薬,奥田製薬（株）,132M00A00425,第2類,
,奥田胃腸薬L（細粒）,奥田製薬（株）,233B00A00018,第2類,
,オクダ胃腸薬（細粒）,奥田製薬（株）,233B00A00017,第2類,
,奥田胃腸薬（細粒）,奥田製薬（株）,233B00A00016,第2類,
,奥田胃腸薬（散剤）,奥田製薬（株）,233B00A00631,第2類,
,奥田胃腸薬（錠）L,奥田製薬（株）,233C00A00361,第2類,
,オクダ胃腸薬（錠剤）,奥田製薬（株）,233C00A00360,第2類,
,奥田胃腸薬（錠剤）,奥田製薬（株）,233C00A00359,第2類,
,奥田下痢止め,奥田製薬（株）,231D00A10685,第2類,
,奥田ぢ坐剤A,奥田製薬（株）,255Q02A10011,指定第2類,
,奥田ぢ軟膏A,奥田製薬（株）,255N00A10026,指定第2類,
,奥田脳神経薬,奥田製薬（株）,117C00A08183,指定第2類,
,オッタヴィーノぢ坐剤A,奥田製薬（株）,255Q03A10010,指定第2類,
,オッタヴィーノぢ軟膏A,奥田製薬（株）,255N01A10025,指定第2類,
,オリザファインE,奥田製薬（株）,315D00A10057,第3類,
,カンピオーネα（s）,奥田製薬（株）,114C02A00058,指定第2類,
,キュルミナンEX11液,奥田製薬（株）,264M04A10022,指定第2類,
,キュルミナンEX11ゲル,奥田製薬（株）,264N01A10021,指定第2類,
,キュルミナンEX9液,奥田製薬（株）,264M00A10011,指定第2類,
,キュルミナンEX9ゲル,奥田製薬（株）,264N01A10008,指定第2類,
,グスタフX液,奥田製薬（株）,265M00A00025,指定第2類,
,グスタフXクリーム,奥田製薬（株）,265N02A00033,指定第2類,
,グットエイドALGプラス点鼻薬,奥田製薬（株）,132M00A00427,第2類,
,グットエイドEVs,奥田製薬（株）,114C01A00059,指定第2類,
,グットエイド点鼻薬クール,奥田製薬（株）,132M00A10107,第2類,
,グットノーズ,奥田製薬（株）,132M00A10040,第2類,
,グットノーズALGプラス点鼻薬,奥田製薬（株）,132M00A00424,第2類,
,グットノーズクール,奥田製薬（株）,132M00A10041,第2類,
,グローアルファALGプラス,奥田製薬（株）,132M00A00431,第2類,
,グローアルファ鎮痛薬a,奥田製薬（株）,114C02A00118,指定第2類,
,グローアルファ点鼻薬クール,奥田製薬（株）,132M00A10078,第2類,
,ケナリスS点鼻薬,奥田製薬（株）,132M00A10018,第2類,
,ケナリス点鼻薬,奥田製薬（株）,132M00A10095,第2類,
,コナリスIP,奥田製薬（株）,114C00A00119,指定第2類,
,サフィニアぢEX坐剤,奥田製薬（株）,255Q00A10019,指定第2類,
,サフィニアぢEX軟膏,奥田製薬（株）,255N02A10007,指定第2類,
,ジーベクトル坐剤,奥田製薬（株）,255Q01A10042,指定第2類,
,ジーベクトル軟膏,奥田製薬（株）,255N02A10003,指定第2類,
,ジョイントアルファZプラス点鼻薬,奥田製薬（株）,132M00A00634,第2類,
,スットノーズZプラス点鼻薬,奥田製薬（株）,132M00A00635,第2類,
,スットノーズα点鼻薬,奥田製薬（株）,132M02A10009,第2類,
,スペジオンIP,奥田製薬（株）,114C00A10038,指定第2類,
,スルーファインプラス,奥田製薬（株）,231B00A10004,指定第2類,
,ディパシオEX,奥田製薬（株）,114C05A00013,指定第2類,
,ディパシオIPa,奥田製薬（株）,114C00A00612,指定第2類,
,ドリーミンエイドa,奥田製薬（株）,112C00A00171,指定第2類,
,ドリムトリートエース液,奥田製薬（株）,265M01A00024,指定第2類,
,ドリムトリートエースクリーム,奥田製薬（株）,265N00A00036,指定第2類,
,パオラスC2000,奥田製薬（株）,314C02A10030,第3類,
,パオラスE,奥田製薬（株）,315D00A10056,第3類,
,ビタミンCオクダ,奥田製薬（株）,314C02A10022,第3類,
,フェキソフェナジン錠α,奥田製薬（株）,441C00A00146,第2類,
,フェルビロックエース,奥田製薬（株）,264M00A00605,第2類,
,フェロテナスALGプラス点鼻薬,奥田製薬（株）,132M00A00428,第2類,
,フェロテナスIP,奥田製薬（株）,114C00A00060,指定第2類,
,フェロテナスぢ坐剤A,奥田製薬（株）,255Q01A10013,指定第2類,
,フェロテナスぢ軟膏A,奥田製薬（株）,255N00A10028,指定第2類,
,フェロテナス点鼻薬,奥田製薬（株）,132M00A10105,第2類,
,プレミナスEX,奥田製薬（株）,114C00A00181,指定第2類,
,プレミナスIP,奥田製薬（株）,114C01A10026,指定第2類,
,ヘルペエース,奥田製薬（株）,625N00A00244,第1類,
,ベルダサポートIPa,奥田製薬（株）,114C00A00061,指定第2類,
,ペディラスBTエース液,奥田製薬（株）,265M02A00023,指定第2類,
,ペディラスBTエースクリーム,奥田製薬（株）,265N01A00035,指定第2類,
,ペディラス点鼻薬クール,奥田製薬（株）,132M01A10037,第2類,
,マーシナリーIPa,奥田製薬（株）,114C01A00064,指定第2類,
,マニューバEX11液,奥田製薬（株）,264M05A10009,指定第2類,
,マニューバEX11ゲル,奥田製薬（株）,264N04A10014,指定第2類,
,マニューバEX9液,奥田製薬（株）,264M01A10010,指定第2類,
,マニューバEX9ゲル,奥田製薬（株）,264N00A10004,指定第2類,
,ラウレアALGプラス点鼻薬,奥田製薬（株）,132M00A00432,第2類,
,ラッシュピードZ,奥田製薬（株）,264M00A00604,第2類,
,ラティーノBTエース液,奥田製薬（株）,265M01A00026,指定第2類,
,ラティーノBTエースクリーム,奥田製薬（株）,265N00A00038,指定第2類,
,ラティーノXA液,奥田製薬（株）,265M01A00023,指定第2類,
,ラティーノXAクリーム,奥田製薬（株）,265N02A00031,指定第2類,
,ラナンキュラスぢ坐剤A,奥田製薬（株）,255Q03A10009,指定第2類,
,ラナンキュラスぢ軟膏A,奥田製薬（株）,255N00A10024,指定第2類,
,リコリプラス点鼻薬クール,奥田製薬（株）,132M00A10077,第2類,
,レイテクトDX液,奥田製薬（株）,264M00A10015,指定第2類,
,レイテクトDXゲル,奥田製薬（株）,264N01A10009,指定第2類,
,ロキソプロフェン錠「AX」,奥田製薬（株）,114C01A00521,第1類,
,ロキソプロフェン錠「GX」,奥田製薬（株）,114C00A00628,第1類,
,エースプラスター,（株）奥田又右衛門膏本舗,264P00A00018,第3類,
,奥田家下呂膏,（株）奥田又右衛門膏本舗,264P01A00531,第3類,
,奥田家下呂膏ID液,（株）奥田又右衛門膏本舗,264M00A00333,第2類,
,白光（ネオプラスター）,（株）奥田又右衛門膏本舗,264P00A00363,第3類,
,ティアーレALショット,（株）オフテクス,131M05A00014,第3類,
,ティアーレW,（株）オフテクス,131M01A00739,第3類,
,ティアーレ抗菌目薬,（株）オフテクス,131M24A10004,第2類,
,ピューラックス,（株）オーヤラックス,732Z00A01434,第2類,
,ピューラックス-10,（株）オーヤラックス,732Z00A01432,第2類,
,アレマンエース,オール薬品工業（株）,449D00A00130,第2類,
,イノプロA,オール薬品工業（株）,235C01A10006,第2類,
,オールP錠F,オール薬品工業（株）,115C00A00117,第3類,
,オールP鼻炎ソフトカプセルA,オール薬品工業（株）,441D00A10085,指定第2類,
,オールビタミンEXゴールド,オール薬品工業（株）,319C03A10003,第3類,
,オムニンエース,オール薬品工業（株）,118C02A10012,指定第2類,
,オムニン鼻炎カプセルS,オール薬品工業（株）,441D00A10086,指定第2類,
,クレマエースEXP,オール薬品工業（株）,319C02A10001,第3類,
,小児用新オムニンA,オール薬品工業（株）,118E00A00006,指定第2類,
,新オールA錠,オール薬品工業（株）,319C00A10018,第3類,
,新オールP,オール薬品工業（株）,115E00A00322,第3類,
,新オールV,オール薬品工業（株）,329E00A00442,第3類,
,新オムニンP錠,オール薬品工業（株）,114C00A00864,指定第2類,
,スカイブブロンEX,オール薬品工業（株）,114C00A00359,指定第2類,
,ゼントルシロップ,オール薬品工業（株）,224E00A00914,指定第2類,
,ゼントルシロップK,オール薬品工業（株）,224E00A01413,指定第2類,
,デイトナC,オール薬品工業（株）,314C00A10049,第3類,
,デイトナEXゴールド,オール薬品工業（株）,319C00A00007,第3類,
,デイトナS,オール薬品工業（株）,112D00A00622,指定第2類,
,ネーボンC・Ca,オール薬品工業（株）,314C02A10010,第3類,
,ネルベンエースA錠,オール薬品工業（株）,114C00A00865,指定第2類,
,ノイロダンA,オール薬品工業（株）,312C00A10057,第3類,
,ノイロンホルテS,オール薬品工業（株）,112C00A00242,第2類,
,ノイロンムーンS,オール薬品工業（株）,112D00A00621,指定第2類,
,脳寿S,オール薬品工業（株）,112C00A00243,第2類,
,ヒロオールPキング,オール薬品工業（株）,115E00A01480,第3類,
,ヒロタミンC錠カルシウム,オール薬品工業（株）,314C02A10009,第3類,
,ヒロタミンEX,オール薬品工業（株）,313C01A10042,第3類,
,ヒロタミンEXゴールド,オール薬品工業（株）,319C01A00009,第3類,
,ビタミンC錠オール,オール薬品工業（株）,314C00A10066,第3類,
,ビタミンC錠オール・Ca,オール薬品工業（株）,317C06A10005,第3類,
,フストールS,オール薬品工業（株）,112D00A00620,指定第2類,
,フストールシロップ,オール薬品工業（株）,224E00A00913,指定第2類,
,フストールシロップA,オール薬品工業（株）,224E03A10005,第2類,
,フストールシロップS,オール薬品工業（株）,224E00A00033,指定第2類,
,ボディーメイトEX,オール薬品工業（株）,313C00A10108,第3類,
,ボディーメイトEXゴールド,オール薬品工業（株）,319C00A00008,第3類,
,ボディーメイトVC錠カルシウム,オール薬品工業（株）,314C04A10005,第3類,
,ラキサタンA,オール薬品工業（株）,235C00A02212,第2類,
,ラフェルサビタミンC・Ca,オール薬品工業（株）,314C01A10007,第3類,
,ロポンC,オール薬品工業（株）,314C00A10048,第3類,
,ロポンEX,オール薬品工業（株）,313C01A10015,第3類,
,ロポンEXゴールド,オール薬品工業（株）,319C00A00005,第3類,
drug-pony:10149993,改源,カイゲンファーマ（株）,118B00D00166,指定第2類,
,改源かぜカプセル,カイゲンファーマ（株）,118D00A10022,指定第2類,
,カイゲンかぜシロップ小児用S,カイゲンファーマ（株）,118E01A10015,指定第2類,
,カイゲン顆粒,カイゲンファーマ（株）,118B00D00799,指定第2類,
,カイゲン顆粒G,カイゲンファーマ（株）,118B00D00801,指定第2類,
,カイゲン感冒液小児用,カイゲンファーマ（株）,118E01A10030,指定第2類,
,カイゲン感冒カリュー,カイゲンファーマ（株）,118B00A00679,指定第2類,
,カイゲンゴールドカリュー,カイゲンファーマ（株）,118B00A10007,指定第2類,
,改源錠,カイゲンファーマ（株）,118C04A10008,指定第2類,
,カイゲンせき止め液W,カイゲンファーマ（株）,224E00A00050,指定第2類,
,改源咳止液W,カイゲンファーマ（株）,224E00A01865,指定第2類,
,カイゲン咳止液α,カイゲンファーマ（株）,224E00A10064,指定第2類,
,カイゲンせき止めカプセル,カイゲンファーマ（株）,224D00D00038,指定第2類,
,カイゲンパックIB顆粒,カイゲンファーマ（株）,114B00A00009,指定第2類,
,カイゲン鼻炎カプセル12,カイゲンファーマ（株）,132D00A00335,指定第2類,
,カイゲン鼻炎カプセルP,カイゲンファーマ（株）,132D00A10080,指定第2類,
,葛根湯満量顆粒2,カイゲンファーマ（株）,520B03A00064,第2類,
,新カイゲンせき止め液W,カイゲンファーマ（株）,224E00D00095,指定第2類,
,新キーパーU顆粒,カイゲンファーマ（株）,237B00A00292,第2類,
,新キーパーU細粒,カイゲンファーマ（株）,237B00D00285,第2類,
,スルーピュア,カイゲンファーマ（株）,235B00A10021,指定第2類,
,ムクトレール,カイゲンファーマ（株）,520C00A00386,第2類,
,ラ・フェルサ新胃腸薬,カイゲンファーマ（株）,237B00A10021,第2類,
,ルチオ,カイゲンファーマ（株）,235B01A10008,指定第2類,
,ルチオDX,カイゲンファーマ（株）,235B03A10007,指定第2類,
,アイデスワッブ,（株）カナエ,261M00A04633,第3類,
,スワバーM・NW70,（株）カナエ,261M00A00241,第3類,
,スワバーミニNW70,（株）カナエ,261M00A00611,第3類,
,カネパスVA,兼一薬品工業（株）,261M00A00170,第3類,
,消毒用エタノール「カネイチ」（P）,兼一薬品工業（株）,261M00A02123,第3類,
,ベンザルコニウム塩化物液10％（カネイチ）,兼一薬品工業（株）,261M00A00632,第3類,
,ポリヨードン・ガーグル,兼一薬品工業（株）,226M00A00528,第3類,
,金原ウワウルシ,（株）金原市兵衛商店,510G00A01130,第2類,
,金原カゴソウ,（株）金原市兵衛商店,510G00A01132,第3類,
,金原キササゲ,（株）金原市兵衛商店,510G00A01134,第2類,
,金原ケツメイシ,（株）金原市兵衛商店,510G00A01135,第3類,
,金原ゲンノショウコ,（株）金原市兵衛商店,510G00A01136,第3類,
,金原サフラン,（株）金原市兵衛商店,510G01A01040,第3類,
,金原シャゼンソウ,（株）金原市兵衛商店,510G00A01139,第3類,
,金原ジュウヤク,（株）金原市兵衛商店,510G00A01140,第3類,
,金原センナ,（株）金原市兵衛商店,510G00A01141,指定第2類,
,金原センブリ,（株）金原市兵衛商店,510G00A01142,第3類,
,金原ボウイ,（株）金原市兵衛商店,510G00A01145,第2類,
,金原モクツウ,（株）金原市兵衛商店,510G00A01147,第2類,
,金原ユウタン,（株）金原市兵衛商店,510G00A01041,第3類,
,金原ヨクイニン,（株）金原市兵衛商店,510G00A01148,第3類,
,赤井筒薬亀田六神丸,（株）亀田利三郎薬舗,211R00A01360,第2類,
,赤井筒薬小児六神丸,（株）亀田利三郎薬舗,211R00A03011,第2類,
,仙丹,（株）亀田利三郎薬舗,211R00A00343,第2類,
,カワイ肝油ドロップC,河合製薬（株）,311Z00D00216,指定第2類,
,カワイ肝油ドロップC20,河合製薬（株）,311Z00A01351,指定第2類,
,カワイ肝油ドロップM400,河合製薬（株）,311Z00A00045,指定第2類,
,カワイ肝油ドロップS,河合製薬（株）,311Z00A00054,指定第2類,
,ステリコットα,川本産業（株）,261Z00A00937,第3類,
,喜谷實母散,（株）キタニ,112G00A00101,第2類,
,ジツボンS,（株）キタニ,112C00A04321,第3類,
,NID防風通聖散錠Z 6000,北日本製薬（株）,520C00A00423,第2類,
,温経湯エキス顆粒KM,北日本製薬（株）,520B72A00003,第2類,
,温清飲エキス顆粒KM,北日本製薬（株）,520B70A00016,第2類,
,黄快,北日本製薬（株）,520B00A04231,第2類,
,黄快顆粒,北日本製薬（株）,520B03A00203,第2類,
,黄快錠,北日本製薬（株）,520C01A00508,第2類,
,黄連解毒湯エキス顆粒KM-2,北日本製薬（株）,520B72A00066,第2類,
,カッコン湯エキス顆粒H,北日本製薬（株）,520B00D00292,第2類,
,葛根湯エキス顆粒KM,北日本製薬（株）,520B70A00091,第2類,
